Project Name,Package Name,Type Name,Method Name,Code Smell
codellama_correct,(default package),DefaultHaConnection,run,Magic Number
codellama_correct,(default package),DefaultHaConnection,run,Magic Number
codellama_correct,(default package),WriteSocketService,run,Complex Method
codellama_correct,(default package),WriteSocketService,run,Magic Number
codellama_correct,(default package),WriteSocketService,run,Magic Number
codellama_correct,(default package),CapacitySchedulerConfiguration,getMaximumSystemApplications,Long Identifier
codellama_correct,(default package),CapacitySchedulerConfiguration,getMaximumApplicationMasterResourcePercent,Long Identifier
codellama_correct,(default package),AbstractReferenceConfig,AbstractReferenceConfig,Long Parameter List
codellama_correct,(default package),BrokerConfig,BrokerConfig,Long Identifier
codellama_correct,(default package),BrokerConfig,BrokerConfig,Long Parameter List
codellama_correct,(default package),CommitLogStressTest,main,Magic Number
codellama_correct,(default package),CommitLogStressTest,main,Magic Number
codellama_correct,(default package),CommitLogStressTest,testAllLogConfigs,Long Statement
codellama_correct,(default package),CommitLogStressTest,testAllLogConfigs,Magic Number
codellama_correct,(default package),CommitLogStressTest,testAllLogConfigs,Magic Number
codellama_correct,(default package),DataOutputTest,testDataOutputDirectByteBuffer,Magic Number
codellama_correct,(default package),DataOutputTest,testDataOutputHeapByteBuffer,Magic Number
codellama_correct,(default package),DataOutputTest,testSafeMemoryWriter,Magic Number
codellama_correct,(default package),DataOutputTest,testSafeMemoryWriter,Magic Number
codellama_correct,(default package),DataOutputTest,testSafeMemoryWriter,Magic Number
codellama_correct,(default package),DataOutputTest,testSequentialWriter,Magic Number
codellama_correct,(default package),CompressedRandomAccessReader,CompressedRandomAccessReader,Long Statement
codellama_correct,(default package),CompressedRandomAccessReader,CompressedRandomAccessReader,Long Statement
codellama_correct,(default package),CompressedRandomAccessReader,CompressedRandomAccessReader,Magic Number
codellama_correct,(default package),DistributionGraph,getScrollableUnitIncrement,Magic Number
codellama_correct,(default package),DistributionGraph,getScrollableBlockIncrement,Magic Number
codellama_correct,(default package),DistributionGraph,drawSample,Magic Number
codellama_correct,(default package),DistributionGraph,drawSample,Magic Number
codellama_correct,(default package),DistributionGraph,drawSample,Magic Number
codellama_correct,(default package),DistributionGraph,drawSample,Magic Number
